feature-extraction,run#,epoch,state,AMI,ARI,NMI
SBERT,1,25,2,0.516988,0.545398,0.517000
SBERT,1,40,4,0.518527,0.548718,0.518539
SBERT,1,55,6,0.518478,0.548614,0.518490
SBERT,1,70,8,0.517115,0.544813,0.517127
SBERT,1,85,10,0.518346,0.547626,0.518359
SBERT,1,100,12,0.517076,0.544762,0.517088
SBERT,1,115,14,0.517209,0.545528,0.517221
SBERT,1,130,16,0.518480,0.548097,0.518492
SBERT,1,145,18,0.517147,0.545215,0.517159
SBERT,1,160,20,0.518255,0.547477,0.518267
SBERT,1,175,22,0.517385,0.547547,0.517397
SBERT,1,190,24,0.518298,0.547617,0.518310
SBERT,1,205,26,0.517998,0.546969,0.518010
SBERT,1,220,28,0.518225,0.547425,0.518237
SBERT,1,235,30,0.518008,0.546940,0.518021
SBERT,1,250,32,0.518484,0.548666,0.518496
SBERT,1,265,34,0.518028,0.547007,0.518040
SBERT,1,280,36,0.517897,0.546806,0.517909
SBERT,1,295,38,0.517172,0.544895,0.517184
SBERT,2,25,2,0.516988,0.545398,0.517000
SBERT,2,40,4,0.518527,0.548718,0.518539
SBERT,2,55,6,0.518478,0.548614,0.518490
SBERT,2,70,8,0.517115,0.544813,0.517127
SBERT,2,85,10,0.518346,0.547626,0.518359
SBERT,2,100,12,0.517076,0.544762,0.517088
SBERT,2,115,14,0.517209,0.545528,0.517221
SBERT,2,130,16,0.518480,0.548097,0.518492
SBERT,2,145,18,0.517147,0.545215,0.517159
SBERT,2,160,20,0.518255,0.547477,0.518267
SBERT,2,175,22,0.517385,0.547547,0.517397
SBERT,2,190,24,0.518298,0.547617,0.518310
SBERT,2,205,26,0.517998,0.546969,0.518010
SBERT,2,220,28,0.518225,0.547425,0.518237
SBERT,2,235,30,0.518008,0.546940,0.518021
SBERT,2,250,32,0.518484,0.548666,0.518496
SBERT,2,265,34,0.518028,0.547007,0.518040
SBERT,2,280,36,0.517897,0.546806,0.517909
SBERT,2,295,38,0.517172,0.544895,0.517184
SBERT,3,25,2,0.516988,0.545398,0.517000
SBERT,3,40,4,0.518527,0.548718,0.518539
SBERT,3,55,6,0.518478,0.548614,0.518490
SBERT,3,70,8,0.517115,0.544813,0.517127
SBERT,3,85,10,0.518346,0.547626,0.518359
SBERT,3,100,12,0.517076,0.544762,0.517088
SBERT,3,115,14,0.517209,0.545528,0.517221
SBERT,3,130,16,0.518480,0.548097,0.518492
SBERT,3,145,18,0.517147,0.545215,0.517159
SBERT,3,160,20,0.518255,0.547477,0.518267
SBERT,3,175,22,0.517385,0.547547,0.517397
SBERT,3,190,24,0.518298,0.547617,0.518310
SBERT,3,205,26,0.517998,0.546969,0.518010
SBERT,3,220,28,0.518225,0.547425,0.518237
SBERT,3,235,30,0.518008,0.546940,0.518021
SBERT,3,250,32,0.518484,0.548666,0.518496
SBERT,3,265,34,0.518028,0.547007,0.518040
SBERT,3,280,36,0.517897,0.546806,0.517909
SBERT,3,295,38,0.517172,0.544895,0.517184
SBERT,4,25,2,0.516988,0.545398,0.517000
SBERT,4,40,4,0.518527,0.548718,0.518539
SBERT,4,55,6,0.518478,0.548614,0.518490
SBERT,4,70,8,0.517115,0.544813,0.517127
SBERT,4,85,10,0.518346,0.547626,0.518359
SBERT,4,100,12,0.517076,0.544762,0.517088
SBERT,4,115,14,0.517209,0.545528,0.517221
SBERT,4,130,16,0.518480,0.548097,0.518492
SBERT,4,145,18,0.517147,0.545215,0.517159
SBERT,4,160,20,0.518255,0.547477,0.518267
SBERT,4,175,22,0.517385,0.547547,0.517397
SBERT,4,190,24,0.518298,0.547617,0.518310
SBERT,4,205,26,0.517998,0.546969,0.518010
SBERT,4,220,28,0.518225,0.547425,0.518237
SBERT,4,235,30,0.518008,0.546940,0.518021
SBERT,4,250,32,0.518484,0.548666,0.518496
SBERT,4,265,34,0.518028,0.547007,0.518040
SBERT,4,280,36,0.517897,0.546806,0.517909
SBERT,4,295,38,0.517172,0.544895,0.517184
SBERT,5,25,2,0.516988,0.545398,0.517000
SBERT,5,40,4,0.518527,0.548718,0.518539
SBERT,5,55,6,0.518478,0.548614,0.518490
SBERT,5,70,8,0.517115,0.544813,0.517127
SBERT,5,85,10,0.518346,0.547626,0.518359
SBERT,5,100,12,0.517076,0.544762,0.517088
SBERT,5,115,14,0.517209,0.545528,0.517221
SBERT,5,130,16,0.518480,0.548097,0.518492
SBERT,5,145,18,0.517147,0.545215,0.517159
SBERT,5,160,20,0.518255,0.547477,0.518267
SBERT,5,175,22,0.517385,0.547547,0.517397
SBERT,5,190,24,0.518298,0.547617,0.518310
SBERT,5,205,26,0.517998,0.546969,0.518010
SBERT,5,220,28,0.518225,0.547425,0.518237
SBERT,5,235,30,0.518008,0.546940,0.518021
SBERT,5,250,32,0.518484,0.548666,0.518496
SBERT,5,265,34,0.518028,0.547007,0.518040
SBERT,5,280,36,0.517897,0.546806,0.517909
SBERT,5,295,38,0.517172,0.544895,0.517184
SBERT,6,25,2,0.516988,0.545398,0.517000
SBERT,6,40,4,0.518527,0.548718,0.518539
SBERT,6,55,6,0.518478,0.548614,0.518490
SBERT,6,70,8,0.517115,0.544813,0.517127
SBERT,6,85,10,0.518346,0.547626,0.518359
SBERT,6,100,12,0.517076,0.544762,0.517088
SBERT,6,115,14,0.517209,0.545528,0.517221
SBERT,6,130,16,0.518480,0.548097,0.518492
SBERT,6,145,18,0.517147,0.545215,0.517159
SBERT,6,160,20,0.518255,0.547477,0.518267
SBERT,6,175,22,0.517385,0.547547,0.517397
SBERT,6,190,24,0.518298,0.547617,0.518310
SBERT,6,205,26,0.517998,0.546969,0.518010
SBERT,6,220,28,0.518225,0.547425,0.518237
SBERT,6,235,30,0.518008,0.546940,0.518021
SBERT,6,250,32,0.518484,0.548666,0.518496
SBERT,6,265,34,0.518028,0.547007,0.518040
SBERT,6,280,36,0.517897,0.546806,0.517909
SBERT,6,295,38,0.517172,0.544895,0.517184
SBERT,7,25,2,0.516988,0.545398,0.517000
SBERT,7,40,4,0.518527,0.548718,0.518539
SBERT,7,55,6,0.518478,0.548614,0.518490
SBERT,7,70,8,0.517115,0.544813,0.517127
SBERT,7,85,10,0.518346,0.547626,0.518359
SBERT,7,100,12,0.517076,0.544762,0.517088
SBERT,7,115,14,0.517209,0.545528,0.517221
SBERT,7,130,16,0.518480,0.548097,0.518492
SBERT,7,145,18,0.517147,0.545215,0.517159
SBERT,7,160,20,0.518255,0.547477,0.518267
SBERT,7,175,22,0.517385,0.547547,0.517397
SBERT,7,190,24,0.518298,0.547617,0.518310
SBERT,7,205,26,0.517998,0.546969,0.518010
SBERT,7,220,28,0.518225,0.547425,0.518237
SBERT,7,235,30,0.518008,0.546940,0.518021
SBERT,7,250,32,0.518484,0.548666,0.518496
SBERT,7,265,34,0.518028,0.547007,0.518040
SBERT,7,280,36,0.517897,0.546806,0.517909
SBERT,7,295,38,0.517172,0.544895,0.517184
SBERT,8,25,2,0.516988,0.545398,0.517000
SBERT,8,40,4,0.518527,0.548718,0.518539
SBERT,8,55,6,0.518478,0.548614,0.518490
SBERT,8,70,8,0.517115,0.544813,0.517127
SBERT,8,85,10,0.518346,0.547626,0.518359
SBERT,8,100,12,0.517076,0.544762,0.517088
SBERT,8,115,14,0.517209,0.545528,0.517221
SBERT,8,130,16,0.518480,0.548097,0.518492
SBERT,8,145,18,0.517147,0.545215,0.517159
SBERT,8,160,20,0.518255,0.547477,0.518267
SBERT,8,175,22,0.517385,0.547547,0.517397
SBERT,8,190,24,0.518298,0.547617,0.518310
SBERT,8,205,26,0.517998,0.546969,0.518010
SBERT,8,220,28,0.518225,0.547425,0.518237
SBERT,8,235,30,0.518008,0.546940,0.518021
SBERT,8,250,32,0.518484,0.548666,0.518496
SBERT,8,265,34,0.518028,0.547007,0.518040
SBERT,8,280,36,0.517897,0.546806,0.517909
SBERT,8,295,38,0.517172,0.544895,0.517184
SBERT,9,25,2,0.516988,0.545398,0.517000
SBERT,9,40,4,0.518527,0.548718,0.518539
SBERT,9,55,6,0.518478,0.548614,0.518490
SBERT,9,70,8,0.517115,0.544813,0.517127
SBERT,9,85,10,0.518346,0.547626,0.518359
SBERT,9,100,12,0.517076,0.544762,0.517088
SBERT,9,115,14,0.517209,0.545528,0.517221
SBERT,9,130,16,0.518480,0.548097,0.518492
SBERT,9,145,18,0.517147,0.545215,0.517159
SBERT,9,160,20,0.518255,0.547477,0.518267
SBERT,9,175,22,0.517385,0.547547,0.517397
SBERT,9,190,24,0.518298,0.547617,0.518310
SBERT,9,205,26,0.517998,0.546969,0.518010
SBERT,9,220,28,0.518225,0.547425,0.518237
SBERT,9,235,30,0.518008,0.546940,0.518021
SBERT,9,250,32,0.518484,0.548666,0.518496
SBERT,9,265,34,0.518028,0.547007,0.518040
SBERT,9,280,36,0.517897,0.546806,0.517909
SBERT,9,295,38,0.517172,0.544895,0.517184
SBERT,10,25,2,0.516988,0.545398,0.517000
SBERT,10,40,4,0.518527,0.548718,0.518539
SBERT,10,55,6,0.518478,0.548614,0.518490
SBERT,10,70,8,0.517115,0.544813,0.517127
SBERT,10,85,10,0.518346,0.547626,0.518359
SBERT,10,100,12,0.517076,0.544762,0.517088
SBERT,10,115,14,0.517209,0.545528,0.517221
SBERT,10,130,16,0.518480,0.548097,0.518492
SBERT,10,145,18,0.517147,0.545215,0.517159
SBERT,10,160,20,0.518255,0.547477,0.518267
SBERT,10,175,22,0.517385,0.547547,0.517397
SBERT,10,190,24,0.518298,0.547617,0.518310
SBERT,10,205,26,0.517998,0.546969,0.518010
SBERT,10,220,28,0.518225,0.547425,0.518237
SBERT,10,235,30,0.518008,0.546940,0.518021
SBERT,10,250,32,0.518484,0.548666,0.518496
SBERT,10,265,34,0.518028,0.547007,0.518040
SBERT,10,280,36,0.517897,0.546806,0.517909
SBERT,10,295,38,0.517172,0.544895,0.517184
